# Gaussian elimination error in x
# degree 2-norm infinity-norm
3 10.1750699670 6.5754406884
4 1.3347573111 0.8635585380
5 1.3347573111 0.8635585380
6 0.0205051590 0.0079611566
7 0.0205051580 0.0079611401
8 0.0012290947 0.0008064484
9 0.0012290958 0.0008068590
10 0.0000121044 0.0000056420
11 0.0000138740 0.0000074314
12 0.0044677765 0.0022241876
13 0.0000418921 0.0000222756
14 0.0000171539 0.0000100469
15 0.0000064763 0.0000043114


# QR decomposition ( New system ) error in x
# degree 2-norm infinity-norm
3 10.1750699670 6.5754406884
4 1.3347573112 0.8635585381
5 1.3347573103 0.8635585373
6 0.0205051623 0.0079611586
7 0.0205051547 0.0079611301
8 0.0012290968 0.0008064617
9 0.0012290556 0.0008064413
10 0.0000129789 0.0000064952
11 0.0000383773 0.0000276648
12 0.0000345173 0.0000271008
13 0.0001999564 0.0001777011
14 0.0035807148 0.0032220449
15 0.0067469252 0.0061915174


# QR decomposition ( Origin system ) error in x
# degree 2-norm infinity-norm
3 10.1750699670 6.5754406884
4 1.3347573111 0.8635585380
5 1.3347573111 0.8635585380
6 0.0205051611 0.0079611587
7 0.0205051611 0.0079611587
8 0.0012290684 0.0008064490
9 0.0012290684 0.0008064490
10 0.0000131900 0.0000066121
11 0.0000131900 0.0000066121
12 0.0000002710 0.0000001473
13 0.0000002710 0.0000001473
14 0.0000000081 0.0000000051
15 0.0000000081 0.0000000051


