# Gaussian elimination error in y
# degree 2-norm infinity-norm
3 5.313320 1.139776
4 5.313320 1.139776
5 0.362558 0.092515
6 0.362558 0.092515
7 0.013533 0.004440
8 0.013533 0.004440
9 0.000392 0.000197
10 0.000392 0.000199
11 0.000031 0.000018
12 0.068254 0.038689
13 0.000020 0.000014
14 0.000067 0.000054
15 0.000039 0.000031


# QR decomposition ( New system ) error in y
# degree 2-norm infinity-norm
3 5.313320 1.139776
4 5.313320 1.139776
5 0.362558 0.092515
6 0.362558 0.092515
7 0.013533 0.004440
8 0.013533 0.004440
9 0.000392 0.000197
10 0.000410 0.000214
11 0.000232 0.000197
12 0.000760 0.000660
13 0.001070 0.000984
14 0.031368 0.028305
15 0.138245 0.128315


# QR decomposition ( Origin system ) error in y
# degree 2-norm infinity-norm
3 5.313320 1.139776
4 5.313320 1.139776
5 0.362558 0.092515
6 0.362558 0.092515
7 0.013533 0.004440
8 0.013533 0.004440
9 0.000392 0.000197
10 0.000392 0.000197
11 0.000013 0.000008
12 0.000013 0.000008
13 0.000000 0.000000
14 0.000000 0.000000
15 0.000000 0.000000


